1482	1781
1483	1782,1783
1484	1784,1785
1485	1786,1787
1486	1788
1487	1789
1488	1790,1791
1489	1792
1490	1793
1491	1794
1492,1494	1795
1495	1796
1496,1497	1797,1798
1498	1799,1801
1499	1802,1803
1500,1501	1804,1806
1502	1807
1503,1504	1808,1809
1505	1810
1506	1811,1812
1507	1813
1508	1814
1509	1815
1510	1816
1511	1817
1512,1513	1818
1514	1819
1515	1820,1821
1516	-1
1517	1822
-1	1823
1518	1824,1825
1519	1826
1520	1827,1829
1521	1830
1522	1831
1523	1832
1524	1833,1834
1525	1835
1526	1836,1837
1527	1838
1528	1839
1529	1840
1530	1841
1531	-1
1532	1842
-1	1843
1533	1844
1534	1845
1535	1846
1536	1847,1849
1537	1850
1538	1851
1539,1540	1852,1853
1541	1854,1855
1542	1856
1543	-1
1544	1857
-1	1858
1545	1859,1861
1546	1862
1547	1863,1864
1548	1865
1549	1866
1550	1867
1551	1868
1552	1869,1870
1553,1554	1871,1872
1555,1556	1873
1557	1874
1558,1559	1875,1876
1560	-1
1561	-1
1562	-1
-1	1877
-1	1878
-1	1879
-1	1880
1563	1881
1564	1882,1885
1565	1886
1566	1887
1567	-1
1568	1888
-1	1889
1569	1890
1570,1571	1891,1892
1572	-1
1573	1893
-1	1894
1574,1576	1895,1897
1577	1898
1578	1899,1900
1579	1901
1580	1902
1581,1582	1903,1904
1583	1905,1907
1584	1908
1585	-1
1586	1909
-1	1910
1587	1911
1588,1589	1912,1913
1590	1914,1915
1591	-1
1592	1916
-1	1917
1593	1918,1920
1594	1921,1923
1595,1596	1924
1597	1925
1598,1600	1926
1601	1927
1602	1928
1603	-1
1604	1929
-1	1930
1605,1606	1931,1932
1607	1933
1608,1609	1934,1935
1610	1936
1611	-1
1612	1937
-1	1938
1613	1939
1614,1615	1940
1616	1941
1617	1942,1943
1618	-1
1619	1944
-1	1945
1620,1621	1946,1947
1622,1623	1948
1624	1949,1950
1625	1951
1626	1952
1627	1953,1954
1628	1955
1629	1956
1630,1631	1957
1632,1634	1958
1635,1636	1959
1637	-1
1638	1960
-1	1961
1639,1640	1962,1963
1641	1964
1642	1965
1643	1966,1967
1644	1968
1645	1969,1970
1646	1971
1647	1972
1648	1973
1649	1974
1650	-1
1651	1975
-1	1976
-1	1977
1652	-1
1653	1978
-1	1979
1654,1655	1980
1656	1981
1657	1982,1983
1658	1984
1659	1985
-1	1986
1660,1661	1987
1662	1988
1663	1989
1664	1990
1665	1991
1666	1992
1667	1993
1668	1994
1669	-1
1670	1995
-1	1996
-1	1997
1671	1998
1672	1999,2000
1673	2001,2002
1674,1675	2003
1676	2004
1677,1678	2005
1679	2006
1680	2007,2008
1681,1682	2009,2010
1683	2011
1684	-1
1685	2012,2014
1686	2015
1687	2016,2017
1688,1689	2018,2019
1690,1691	2020,2023
1692	-1
1693	-1
1694	-1
1695	-1
1696	-1
-1	2024
-1	2025
-1	2026
-1	2027
-1	2028
-1	2029
-1	2030
-1	2031
1697,1698	2032,2034
1699	2035,2036
1700	2037,2038
